"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","F9_08_REV_MISC_DESC","F9_08_REV_MISC_BIZCODE","F9_08_REV_MISC_TOT","F9_08_REV_MISC_RLTD","F9_08_REV_MISC_EXCL","F9_08_REV_MISC_UBIZ"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201910929349300506","411273335","GRACEVILLE RURAL RENTAL HOUSINGINC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201910929349300506_public.xml","OTHER INCOME","532000","1462","1462",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201603199349307775","450432114","MINOT PUBLIC SCHOOL FOUNDATION","2015","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201603199349307775_public.xml","MISCELLANEOUS INCOME","900099","4268","4268",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201532999349300313","226082849","COMMUNICATION WORKERS OF AMERICA","2014","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201532999349300313_public.xml","HEALTH & WELFARE DUES",NA,"402762","402762",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201532999349300313","226082849","COMMUNICATION WORKERS OF AMERICA","2014","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201532999349300313_public.xml","PARKING INCOME",NA,"18818","18818",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201532999349300313","226082849","COMMUNICATION WORKERS OF AMERICA","2014","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201532999349300313_public.xml","SCHOLARSHIP FUNCTIONS",NA,"17730","17730",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201502049349301115","351760451","Indiana Youth Group Inc","2014","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201502049349301115_public.xml","Miscellaneous","624100","3084","3084",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021789349301502","391884257","VISION SOCCER ACADEMY OF WAUKEE","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021789349301502_public.xml","REBATES AND OTHER","713940","70404",NA,"70404",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021789349301502","391884257","VISION SOCCER ACADEMY OF WAUKEE","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021789349301502_public.xml","QUALIFIED SPONSORSHIP","713940","32000",NA,"32000",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901929349300410","450394445","MINOT ASSOCIATION OF BUILDERS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901929349300410_public.xml","MISCELLANEOUS","900099","2200","2200",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201630619349300718","870337442","UTAH TRIAL LAWYERS ASSOCIATION INC","2014","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201630619349300718_public.xml","WINTER & NON WINTER JOURNAL","541800","10830",NA,NA,"10830"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201630619349300718","870337442","UTAH TRIAL LAWYERS ASSOCIATION INC","2014","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201630619349300718_public.xml","MISCELLANEOUS INCOME",NA,"1200","1200",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201630619349300718","870337442","UTAH TRIAL LAWYERS ASSOCIATION INC","2014","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201630619349300718_public.xml","NON-CLE EVENT INCOME",NA,"600","600",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201723199349301592","223183508","FERNCLIF HOUSING DEVELOPMENT FUND","2016","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201723199349301592_public.xml","OTHER REVENUE","900099","302","302",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201741359349301804","363850120","WEBSTER COUNTY COMMUNITY","2016","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201741359349301804_public.xml","INVESTMENT IN NPG",NA,"3103","3103",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201741359349301804","363850120","WEBSTER COUNTY COMMUNITY","2016","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201741359349301804_public.xml","UBI - NPG","423000","189",NA,NA,"189"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201603269349300860","752047906","NATIONAL COUNCIL FOR THERAPEUTIC","2015","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201603269349300860_public.xml","Sale of Mailing List",NA,"2348",NA,"2348",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201723129349302882","263430115","ST CLARAS MANOR INC","2016","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201723129349302882_public.xml","ACTIVITY FUND, VEND & MIS","721000","9","9",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902829349301170","263335767","HECH SOUTH HARWICH INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902829349301170_public.xml","MISCELLANEOUS INCOME",NA,"105","105",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201442799349300449","141593408","WAPPINGERS FEDERATION OF TRANSIT","2013","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201442799349300449_public.xml","SECRETARIAL SERVICES",NA,"5688","5688",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201442799349300449","141593408","WAPPINGERS FEDERATION OF TRANSIT","2013","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201442799349300449_public.xml","RENTAL INCOME",NA,"4470","4470",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201442799349300449","141593408","WAPPINGERS FEDERATION OF TRANSIT","2013","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201442799349300449_public.xml","MISCELLANEOUS",NA,"1435","1435",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201841359349312419","431767432","MERCY HOSPITAL LEBANON","2016","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201841359349312419_public.xml","CAFE & VENDING","900099","464452",NA,"464452",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201841359349312419","431767432","MERCY HOSPITAL LEBANON","2016","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201841359349312419_public.xml","FITNESS CENTER","900099","1614","1463",NA,"151"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942269349301804","311167877","CHRIST CHILD SOCIETY OF COLUMBUS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942269349301804_public.xml","KROGER REBATES",NA,"1390","1390",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942269349301804","311167877","CHRIST CHILD SOCIETY OF COLUMBUS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942269349301804_public.xml","50/50 RAFFLE",NA,"235","235",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942269349301804","311167877","CHRIST CHILD SOCIETY OF COLUMBUS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942269349301804_public.xml","MISCELLANEOUS REVENUE",NA,"220","220",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201811299349301946","391476621","LAYTON ART COLLECTION INC","2017","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201811299349301946_public.xml","OTHER INCOME","900099","2212","2212",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201800669349301205","621714715","THE JASON FOUNDATION INC","2017","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201800669349301205_public.xml","REIMBURSEMENT REVENUE",NA,"617144","617144",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201810439349300321","203142622","LUTHERAN LEGACY FOUNDATION INC","2016","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201810439349300321_public.xml","RETURN OF PRIOR GRANT",NA,"66526","66526",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201810439349300321","203142622","LUTHERAN LEGACY FOUNDATION INC","2016","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201810439349300321_public.xml","REFUNDS/REIMBURSEMENTS",NA,"2298","2298",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201810439349300321","203142622","LUTHERAN LEGACY FOUNDATION INC","2016","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201810439349300321_public.xml","TH LEE PUTNAM","900099","-826",NA,NA,"-826"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201503209349313490","954559371","GOLDEN STATE ATHLETIC CONFERENCE","2014","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201503209349313490_public.xml","OTHER INCOME",NA,"68482","68482",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201503209349313490","954559371","GOLDEN STATE ATHLETIC CONFERENCE","2014","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201503209349313490_public.xml","SPONSORSHIPS",NA,"15875","15875",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201503209349313490","954559371","GOLDEN STATE ATHLETIC CONFERENCE","2014","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201503209349313490_public.xml","TOURNAMENT REVENUE",NA,"50514","50514",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201832279349302958","453623184","CATHOLIC CHARITIES OF SOUTHEAST MICHIGAN","2016","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201832279349302958_public.xml","OTHER REVENUE","624100","4689",NA,"4689",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201711359349311836","521813311","AMERICAN SOCIETY OF NUCLEAR CARDIOLOGY","2016","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201711359349311836_public.xml","OTHER REVENUE","541900","62950","15200",NA,"47750"
