"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
"465727883","201812","93493135119789","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349311978_public.xml","GRACE SCIENCE FOUNDATION","2019-07-12","201931359349311978","2019-08-15T15:27:32",2018
"474565769","201812","93493135120839","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349312083_public.xml","KODI FOUNDATION","2019-07-12","201931359349312083","2019-08-15T15:27:32",2018
"680567493","201812","93493130038079","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303807_public.xml","PACHYONYCHIA CONGENITA FUND","2019-06-21","201921309349303807","2019-07-23T17:24:36",2018
"043614613","201812","93493130037829","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303782_public.xml","SERVING ORPHANS WORLDWIDE INC","2019-06-21","201921309349303782","2019-07-23T17:24:36",2018
"264307444","201812","93493133058209","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349305820_public.xml","KRISTI OVERTON JOHNSON MINISTRIES","2019-06-21","201901339349305820","2019-07-23T17:24:36",2018
"453136312","201812","93493135024189","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349302418_public.xml","M-LISADA AFRICA FOUNDATION","2019-06-28","201931359349302418","2019-07-23T17:24:36",2018
"561966466","201812","93493135069989","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349306998_public.xml","CORPORATE CHAPLAINS OF AMERICA INC","2019-06-28","201931359349306998","2019-07-23T17:24:36",2018
"753057954","201812","93493133079409","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349307940_public.xml","FRIENDS AND FAMILY COMMUNITY CONNECTION","2019-06-28","201901339349307940","2019-07-23T17:24:36",2018
"481146960","201812","93493133002209","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349300220_public.xml","SOCIETY OF WETLAND SCIENTISTS INC","2019-07-05","201901339349300220","2019-07-23T17:24:36",2018
"814470297","201812","93493133060559","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349306055_public.xml","CHARUTAR HEALTH FOUNDATION CORP","2019-07-05","201901339349306055","2019-07-23T17:24:36",2018
"272241003","201812","93493130039879","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303987_public.xml","GLOBAL EXPLORATION AND OCEANOGRAPHIC SOCIETY","2019-07-05","201921309349303987","2019-07-23T17:24:36",2018
"263076006","201812","93493135052389","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349305238_public.xml","FORSAKEN CHILDREN INC","2019-07-05","201931359349305238","2019-07-23T17:24:36",2018
"134133423","201812","93493134046519","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349304651_public.xml","LIFELINE ENERGY FOUNDATION","2019-07-19","201911349349304651","2019-08-15T15:27:32",2018
"721570152","201812","93493131001229","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921319349300122_public.xml","SOCIETY FOR REDOX BIOLOGY AND MEDICINE","2019-07-19","201921319349300122","2019-08-15T15:27:32",2018
"530193519","201812","93493133031059","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349303105_public.xml","NATIONAL GEOGRAPHIC SOCIETY","2019-06-21","201901339349303105","2019-07-23T17:24:36",2018
