"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SD_09_OTH_ASSET_DESC","SD_09_OTH_ASSET_BV"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349311446","311203963","JUDSON CARE CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349311446_public.xml","RESIDUAL RECEIPTS","162261"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349311446","311203963","JUDSON CARE CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349311446_public.xml","REPLACEMENT RESERVES","455766"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349311446","311203963","JUDSON CARE CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349311446_public.xml","ESCROW DEPOSITS","23817"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349311446","311203963","JUDSON CARE CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349311446_public.xml","LICENSE COSTS","868668"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011349349300246","465555439","COMMUNITY ED INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011349349300246_public.xml","DEFERRED OUTFLOWS OTHER BENEFITS","3379"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011349349300246","465555439","COMMUNITY ED INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011349349300246_public.xml","Deferred Outflows related to pensions","826493"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011349349300246","465555439","COMMUNITY ED INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011349349300246_public.xml","OTHER POST EMPLOYMENT ASSET RHIA","7525"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349311882","510262153","MILLSBORO HOUSING FOR PROGRESSINC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349311882_public.xml","FUNDED MORTGAGE ESCROWS AND RESERVES","945104"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349311882","510262153","MILLSBORO HOUSING FOR PROGRESSINC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349311882_public.xml","OLD LANDING II, LP CAPITAL","84294"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349311882","510262153","MILLSBORO HOUSING FOR PROGRESSINC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349311882_public.xml","SECURITY DEPOSITS ESCROW","21368"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903139349300715","050470205","OASIS INTERNATIONAL","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903139349300715_public.xml","OTHER ASSETS - FURNITURE EQUIPMENT","28742"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922569349300812","611098737","ST JOHN GARDENS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922569349300812_public.xml","FINANCING FEES","47620"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922569349300812","611098737","ST JOHN GARDENS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922569349300812_public.xml","RESERVE FOR REPLACEMENTS","21158"
