"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SA_01_PCSTAT_ORG_EIN","SA_01_PCSTAT_ORG_TYPE","SA_01_PCSTAT_ORG_DOC_LISTED_X","SA_01_PCSTAT_ORG_AMT_SUPPORT","SA_01_PCSTAT_ORG_AMT_OTH","SA_01_PCSTAT_ORG_NAME_L1","SA_01_PCSTAT_ORG_NAME_L2"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921159349300147","266070307","The Telios Charitable Trust","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921159349300147_public.xml","841123082","7","false","0","0","New Horizons Foundation Inc",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349302146","586352347","VIRGINIA KIMBROUGH CLARK REESE AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349302146_public.xml","580548732","7","1","401974","0","GEORGIA LIONS LIGHTHOUSE FOUNDATION INC",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349302146","586352347","VIRGINIA KIMBROUGH CLARK REESE AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349302146_public.xml","581710601","3","1","401974","0","CHILDREN'S HEALTHCARE OF ATLANTA",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932349349301123","431501416","CASS REGIONAL MEDICAL CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932349349301123_public.xml","440665664","3","true","165721","0","CASS REGIONAL MEDICAL CENTER",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000429349300840","272446583","CAPITAL AREA FOOD BANK FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000429349300840_public.xml","521167581","7","1","0","0","CAPITAL AREA FOOD BANK",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040379349300019","382993223","MERTON J & BEVERLY SEGAL SUPPORT","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040379349300019_public.xml","381359214","7","1","0","0","JEWISH FEDERATION OF METRO DETROIT",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903199349307105","341961936","CDC PHYSICIANS ORGANIZATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903199349307105_public.xml","341140468","3","1","0","0","COMMUNITY DIALYSIS CENTER",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202030359349300828","256577749","MABEL HAMLETT TUW","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202030359349300828_public.xml","251819940","5","true","9077","0","EDINBORO UNIVERSITY OF PENNSYLVANIA",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942949349200139","363611234","FRANKLIN PARENT-TEACHER","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942949349200139_public.xml","416008267","2","true","25690","0","FRANKLIN ELEMENTARY SCHOOL","FRANKLIN ELEMENTARY SCHOOL"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202032279349302133","570835816","GREENVILLE HEALTH CORPORATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202032279349302133_public.xml","811723202","3","1","0","77126795","PRISMA HEALTH-UPSTATE",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031329349301438","900427853","HELEN AND JACK LUBLINER FAMILY FOUNDATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031329349301438_public.xml","201195592","7","1","0","0","JEWISH FEDERATION OF NORTHERN NEW JERSEY INC",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931279349301233","061004776","RIDGEFIELD ORCHESTRA","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931279349301233_public.xml","066098657","10","true","500","0","RIDGEFIELD SYMPHONY ORCHESTRA","RIDGEFIELD SYMPHONY ORCHESTRA"
