"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
431763247,201812,93493132006279,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921329349300627_public.xml","COLUMBIA PUBLIC SCHOOL DISTRICT FOUNDATION","2019-07-12",201921329349300640,"2019-08-15T15:27:32",2018
680622229,201812,93493135099339,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349309933_public.xml","POTTER VALLEY COMMUNITY PARKS AND RECREATION","2019-07-19",201931359349309920,"2019-08-15T15:27:32",2018
464750143,201812,93493135086889,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349308688_public.xml","DOWNTOWN ABQ MAINSTREET INITIATIVE","2019-07-19",201931359349308672,"2019-08-15T15:27:32",2018
526841579,201812,93493130037029,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303702_public.xml","CONGREGATION KNESETH ISRAEL ENDOWMENT TRUST","2019-06-21",201921309349303712,"2019-07-23T17:24:36",2018
954526760,201812,93493130037529,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303752_public.xml","NUEVO AMANECER LATINO CHILDRENS SERVICES","2019-06-21",201921309349303744,"2019-07-23T17:24:36",2018
340928270,201812,93493133021459,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349302145_public.xml","EUCLID VETERANS ASSOCIATION INC","2019-06-28",201901339349302144,"2019-07-23T17:24:36",2018
200366875,201812,93493133001359,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349300135_public.xml","LOVE OF JESUS INC","2019-07-05",201901339349300128,"2019-07-23T17:24:36",2018
570827131,201812,93493130039479,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303947_public.xml","SOUTH STRAND HELPING HAND INC","2019-07-05",201921309349303936,"2019-07-23T17:24:36",2018
231579118,201812,93493134013469,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349301346_public.xml","LATVIAN RELIEF FUND OF AMERICA INC","2019-07-19",201911349349301344,"2019-08-15T15:27:32",2018
721570152,201812,93493131001229,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921319349300122_public.xml","SOCIETY FOR REDOX BIOLOGY AND MEDICINE","2019-07-19",201921319349300128,"2019-08-15T15:27:32",2018
