"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SD_08_INVEST_PROG_RLTD_DESC","SD_08_INVEST_PROG_RLTD_BV","SD_08_INVEST_PROG_RLTD_MOV"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913179349307771","200774672","NATIONAL ASSOCIATION FOR LATINO COMMUNITY ASSET BUILDERS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913179349307771_public.xml","Equity Investment in Nalcab Network Investors, LLC","971666","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913179349307771","200774672","NATIONAL ASSOCIATION FOR LATINO COMMUNITY ASSET BUILDERS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913179349307771_public.xml","Equity Investment in NALCAB Catalyst Fund I, LLC","171870","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349300902","731173687","JESUS HOUSE INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349300902_public.xml","INVESTMENT IN FOUNDATION ENDOWMENT","10000","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202002309349300700","453306696","Forward Assist Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202002309349300700_public.xml","Investment in Forward Invest, LLC","4026313","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202032339349300218","042994233","HABITAT FOR HUMANITY GREATER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202032339349300218_public.xml","NEW MARKETS TAX CREDIT","1905806","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001359349302870","412118100","CONSTELLATION SCHOOLS MADISON","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001359349302870_public.xml","BOND RESERVE ACCOUNTS","577769","F"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202030779349300428","990349269","HAWAII CORD BLOOD BANK","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202030779349300428_public.xml","HI CELLULAR THERAPY & TRANSPLANT LABORATORY","2076000","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000649349300325","273671507","AMERICAN LEGION AUXILIARY","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000649349300325_public.xml","INVESTMENT - EDWARD JONES","30119","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903199349306675","420757420","The Womans Christian Temperance Union of Iowa","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903199349306675_public.xml","Residential Real Estate","816400","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041919349302289","273346703","ACMH BUILDING 74 HOUSING DEVELOPMENT","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041919349302289_public.xml","SPONSOR LOAN RECEIVABLE","13582455","F"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922429349300107","061665031","CITY OF LAKES COMMUNITY LAND TRUST","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922429349300107_public.xml","LAND HELD IN TRUST","7744844","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922429349300107","061665031","CITY OF LAKES COMMUNITY LAND TRUST","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922429349300107_public.xml","INVESTMENT IN LLC","100","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911649349300226","570969948","PALMETTO PLACE INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911649349300226_public.xml","ESCROW DEPOSITS","10642","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911649349300226","570969948","PALMETTO PLACE INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911649349300226_public.xml","RESERVE FOR REPLACEMENTS","48678","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040589349300019","341240178","COLEMAN PROFESSIONAL SERVICES INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040589349300019_public.xml","CPS PHOENIX, INC STOCK","2337042","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040589349300019","341240178","COLEMAN PROFESSIONAL SERVICES INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040589349300019_public.xml","COLEMAN UNION SQUARE INC STOCK","1180608","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040589349300019","341240178","COLEMAN PROFESSIONAL SERVICES INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040589349300019_public.xml","COLEMAN PS ENTERPRISE INC","-44519","C"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901929349300010","411687873","MODEL CITIES OF ST PAUL INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901929349300010_public.xml","INVESTMENT IN NON-PROFIT SUBSIDIARY","1823521","C"
