"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SR_02_RLTD_ORG_EIN","SR_02_RLTD_ORG_PRIMARY_ACT","SR_02_RLTD_ORG_DMCL_STATE","SR_02_RLTD_ORG_EXEMPT_CODE","SR_02_RLTD_ORG_PCSTAT","SR_02_RLTD_ORG_NAME_L1","SR_02_RLTD_ORG_ADDR_L1","SR_02_RLTD_ORG_ADDR_CITY","SR_02_RLTD_ORG_ADDR_STATE","SR_02_RLTD_ORG_ADDR_ZIP","SR_02_RLTD_ORG_NAME_L1.1","SR_02_RLTD_ORG_CTRL_512_X","SR_02_RLTD_ORG_CTRL_NA","SR_02_RLTD_ORG_DMCL_CNTR","SR_02_RLTD_ORG_ADDR_CNTR","SR_02_RLTD_ORG_NAME_L2","SR_02_RLTD_ORG_ADDR_L2","SR_02_RLTD_ORG_NAME_L2.1"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349313707","237067715","APMI INTERNATIONAL INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349313707_public.xml","131825366","TRADE ORG","NJ","501(C)(6)","N/A","METAL POWDER INDUSTRIES FEDERATION","105 COLLEGE RD E","PRINCETON","NJ","08540","NA",NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202030109349301103","061316459","Apostles of the Sacred Heart Clelian Center","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202030109349301103_public.xml","060653064","Religious Ord","CT",NA,NA,"Apostles of the Sacred Heart of Jesus","261 Benham Street","Hamden","CT","06514",NA,"true",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349300024","581790149","TANNER MEDICAL CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349300024_public.xml","581790152","FOUNDATION","GA","501C3","7","TANNER MEDICAL FOUNDATION INC","109 COLLEGE STREET","CARROLLTON","GA","301173136","TMC","true",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349300024","581790149","TANNER MEDICAL CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349300024_public.xml","800785570","HEALTHCARE","GA","501C3","3","TANNER MEDICAL CENTER GROUP RETURN","705 DIXIE STREET","CARROLLTON","GA","301173818","TMC","true",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349300024","581790149","TANNER MEDICAL CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349300024_public.xml","475348597","HOSPITAL","AL","501C3","3","TANNER MEDICAL CENTER ALABAMA INC","705 DIXIE STREET","CARROLLTON","GA","301173818","TMC","true",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349300024","581790149","TANNER MEDICAL CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349300024_public.xml","581790151","HEALTHCARE","GA","501C3","12B","HEALTHLIANT INC","705 DIXIE STREET","CARROLLTON","GA","301173818","NA","false",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000499349300210","590905672","LEAGUE OF WOMEN VOTERS OF","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000499349300210_public.xml","591385724","EDUCATION","FL","501C3","10","LWVFL EDUCATION FUND INC","1001 N ORANGE AVENUE","ORLANDO","FL","32801",NA,"false","N/A",NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000499349300210","590905672","LEAGUE OF WOMEN VOTERS OF","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000499349300210_public.xml","530115655","PUB POLICY","DC","501C4",NA,"LEAGUE OF WOMEN VOTERS OF THE US","1730 M STREET","WASHINGTON","DC","20036",NA,"false","N/A",NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943489349300304","840524587","RANDELL-MOORE SCHOOL OF DENVER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943489349300304_public.xml","840680957","SCHOOL","CO","501C3","LINE 2","ACCELERATED SCHOOLS","2160 S COOK ST","DENVER","CO","80210",NA,"false","N/A",NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042609349301804","620801926","MEMPHIS MUSEUMS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042609349301804_public.xml",NA,"CITY GOVERNMENT","TN","501A","NONE","CITY OF MEMPHIS DIVISION OF PARK SERVICES","125 N MAIN ST","MEMPHIS","TN","38103","DIVISION OF PARK SERVICES","0",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941359349308179","391470061","CHIPPEWA VALLEY FAMILY YMCA INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941359349308179_public.xml","391308377","TO STRENGTHEN COMMUNITY","WI","501(C)(3)","LINE 10","CHIPPEWA VALLEY FAMILY YMCA INC","611 JEFFERSON AVENUE","CHIPPEWA FALLS","WI","54729",NA,"0","N/A",NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912279349301276","540845509","AMERICAN CIVIL LIBERTIES UNION OF","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912279349301276_public.xml","521283242","SUPPORT","VA","3","7","ACLU FOUNDATION OF VIRGINIA","701 E FRANKLIN STREET SUITE 1412","RICHMOND","VA","23219","ACLU OF VA","true",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943169349302079","521667696","THE INGAA FOUNDATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943169349302079_public.xml","520529079","TRADE ASSOCIATION","DC","501(C)(6)",NA,"INTERSTATE NATURAL GAS ASSOCIATION OF AMERICA","20 F STREET NW SUITE 450","WASHINGTON","DC","20001","NO","0",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943169349302079","521667696","THE INGAA FOUNDATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943169349302079_public.xml","521911400","POLITICAL ACTION COMMITTEE","DC","527",NA,"INGAA POLITICAL ACTION COMMITTEE","20 F STREET NW SUITE 450","WASHINGTON","DC","20001","NO","0",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922949349301132","475247951","PENDLETON MINISTRIES 2 INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922949349301132_public.xml","943222935","LOW-INC HSNG","CA","501(C)(3)","LINE 12A, I","2101 TELEGRAPH AVENUE INC","1600 BROADWAY SUITE 2000","DENVER","CO","80202",NA,"0","N/A",NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922949349301132","475247951","PENDLETON MINISTRIES 2 INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922949349301132_public.xml","475177987","LOW-INC HSNG","IN","501(C)(3)","LINE 10","ALEXANDRIA MINISTRIES INC","1600 BROADWAY SUITE 2000","DENVER","CO","80202",NA,"0","N/A",NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922949349301132","475247951","PENDLETON MINISTRIES 2 INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922949349301132_public.xml","942722870","LOW-INC HSNG","CA","501(C)(3)","LINE 10","ALL HALLOWS COMMUNITY","1600 BROADWAY SUITE 2000","DENVER","CO","80202",NA,"0","N/A",NA,NA,NA,NA,NA
