"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","F9_09_EXP_OTH_TOT","F9_09_EXP_OTH_DESC","F9_09_EXP_OTH_PROG","F9_09_EXP_OTH_MGMT","F9_09_EXP_OTH_FUNDR"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913079349300206","271108318","Flame Fastpitch Club","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913079349300206_public.xml","814",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913079349300206","271108318","Flame Fastpitch Club","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913079349300206_public.xml","53320",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913079349300206","271108318","Flame Fastpitch Club","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913079349300206_public.xml","61281",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913079349300206","271108318","Flame Fastpitch Club","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913079349300206_public.xml","439",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201300879349300235","226069078","UNITED WAY OF ESSEX AND WEST HUDSON","2011","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201300879349300235_public.xml","63732","PROFESSIONAL FEES","29317","20993","13422"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201300879349300235","226069078","UNITED WAY OF ESSEX AND WEST HUDSON","2011","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201300879349300235_public.xml","60000","2-1-1 PROGRAM","60000","0","0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201300879349300235","226069078","UNITED WAY OF ESSEX AND WEST HUDSON","2011","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201300879349300235_public.xml","16463","DUES","7573","5423","3467"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201300879349300235","226069078","UNITED WAY OF ESSEX AND WEST HUDSON","2011","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201300879349300235_public.xml","14661","TELEPHONE","6744","4829","3088"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201231369349301558","631139623","RURAL CHAPLAINS ASSOCIATION","2011","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201231369349301558_public.xml","40797","MINISTRY SUPPORT","40797",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201231369349301558","631139623","RURAL CHAPLAINS ASSOCIATION","2011","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201231369349301558_public.xml","12400","COORDINATOR HOUSING",NA,"12400",NA
